team,game_id,season,game_type,game_date,start_time_utc,game_state,home_team,away_team,opponent,is_home,venue,goals_for,goals_against,result,days_since_previous
VGK,2025010012,20252026,1,2025-09-21,2025-09-22T00:00:00Z,FINAL,SJS,VGK,SJS,False,SAP Center at San Jose,0.0,3.0,L,
VGK,2025010023,20252026,1,2025-09-23,2025-09-24T02:00:00Z,FINAL,VGK,LAK,LAK,True,T-Mobile Arena,1.0,3.0,L,2.0
VGK,2025010039,20252026,1,2025-09-25,2025-09-26T02:00:00Z,FINAL,VGK,UTA,UTA,True,T-Mobile Arena,3.0,2.0,W,2.0
VGK,2025010044,20252026,1,2025-09-26,2025-09-27T02:00:00Z,FINAL,SJS,VGK,SJS,False,SAP Center at San Jose,2.0,1.0,W,1.0
VGK,2025010070,20252026,1,2025-09-30,2025-10-01T00:00:00Z,FINAL,COL,VGK,COL,False,Ball Arena,2.0,4.0,L,4.0
VGK,2025010074,20252026,1,2025-10-01,2025-10-02T01:00:00Z,FINAL,VGK,COL,COL,True,T-Mobile Arena,2.0,1.0,W,1.0
VGK,2025010088,20252026,1,2025-10-03,2025-10-04T02:00:00Z,FINAL,VGK,SJS,SJS,True,T-Mobile Arena,1.0,4.0,L,2.0
VGK,2025020007,20252026,2,2025-10-08,2025-10-09T02:00:00Z,OFF,VGK,LAK,LAK,True,T-Mobile Arena,5.0,6.0,L,5.0
VGK,2025020020,20252026,2,2025-10-09,2025-10-10T02:00:00Z,OFF,SJS,VGK,SJS,False,SAP Center at San Jose,4.0,3.0,W,1.0
VGK,2025020037,20252026,2,2025-10-11,2025-10-12T02:00:00Z,OFF,SEA,VGK,SEA,False,Climate Pledge Arena,1.0,2.0,L,2.0
VGK,2025020053,20252026,2,2025-10-14,2025-10-15T01:00:00Z,OFF,CGY,VGK,CGY,False,Scotiabank Saddledome,4.0,2.0,W,3.0
VGK,2025020069,20252026,2,2025-10-16,2025-10-17T02:00:00Z,OFF,VGK,BOS,BOS,True,T-Mobile Arena,6.0,5.0,W,2.0
VGK,2025020087,20252026,2,2025-10-18,2025-10-19T02:00:00Z,OFF,VGK,CGY,CGY,True,T-Mobile Arena,6.0,1.0,W,2.0
VGK,2025020097,20252026,2,2025-10-20,2025-10-21T02:00:00Z,OFF,VGK,CAR,CAR,True,T-Mobile Arena,4.0,1.0,W,2.0
VGK,2025020130,20252026,2,2025-10-25,2025-10-25T22:00:00Z,OFF,FLA,VGK,FLA,False,Amerant Bank Arena,0.0,3.0,L,5.0
VGK,2025020141,20252026,2,2025-10-26,2025-10-26T21:00:00Z,OFF,TBL,VGK,TBL,False,Benchmark International Arena,1.0,2.0,L,1.0
VGK,2025020155,20252026,2,2025-10-28,2025-10-28T22:30:00Z,OFF,CAR,VGK,CAR,False,Lenovo Center,6.0,3.0,W,2.0
VGK,2025020178,20252026,2,2025-10-31,2025-10-31T20:00:00Z,OFF,VGK,COL,COL,True,T-Mobile Arena,2.0,4.0,L,3.0
VGK,2025020210,20252026,2,2025-11-04,2025-11-05T03:00:00Z,OFF,VGK,DET,DET,True,T-Mobile Arena,1.0,0.0,W,4.0
VGK,2025020225,20252026,2,2025-11-06,2025-11-07T03:00:00Z,OFF,VGK,TBL,TBL,True,T-Mobile Arena,3.0,6.0,L,2.0
VGK,2025020242,20252026,2,2025-11-08,2025-11-09T03:00:00Z,OFF,VGK,ANA,ANA,True,T-Mobile Arena,3.0,4.0,L,2.0
VGK,2025020255,20252026,2,2025-11-10,2025-11-11T03:00:00Z,OFF,VGK,FLA,FLA,True,T-Mobile Arena,2.0,3.0,L,2.0
VGK,2025020277,20252026,2,2025-11-13,2025-11-14T03:00:00Z,OFF,VGK,NYI,NYI,True,T-Mobile Arena,3.0,4.0,L,3.0
VGK,2025020292,20252026,2,2025-11-15,2025-11-16T01:00:00Z,OFF,STL,VGK,STL,False,Enterprise Center,4.0,1.0,W,2.0
VGK,2025020298,20252026,2,2025-11-16,2025-11-16T23:00:00Z,OFF,MIN,VGK,MIN,False,Grand Casino Arena,2.0,3.0,L,1.0
VGK,2025020313,20252026,2,2025-11-18,2025-11-19T03:00:00Z,OFF,VGK,NYR,NYR,True,T-Mobile Arena,3.0,2.0,W,2.0
VGK,2025020327,20252026,2,2025-11-20,2025-11-21T02:00:00Z,OFF,UTA,VGK,UTA,False,Delta Center,4.0,1.0,W,2.0
VGK,2025020346,20252026,2,2025-11-22,2025-11-23T03:00:00Z,OFF,ANA,VGK,ANA,False,Honda Center,3.0,4.0,L,2.0
VGK,2025020358,20252026,2,2025-11-24,2025-11-25T02:00:00Z,OFF,UTA,VGK,UTA,False,Delta Center,1.0,5.0,L,2.0
VGK,2025020373,20252026,2,2025-11-26,2025-11-27T03:00:00Z,OFF,VGK,OTT,OTT,True,T-Mobile Arena,3.0,4.0,L,2.0
VGK,2025020383,20252026,2,2025-11-28,2025-11-28T21:00:00Z,OFF,VGK,MTL,MTL,True,T-Mobile Arena,1.0,4.0,L,2.0
VGK,2025020400,20252026,2,2025-11-29,2025-11-30T03:00:00Z,OFF,VGK,SJS,SJS,True,T-Mobile Arena,4.0,3.0,W,1.0
VGK,2025020419,20252026,2,2025-12-02,2025-12-03T03:00:00Z,OFF,VGK,CHI,CHI,True,T-Mobile Arena,4.0,3.0,W,3.0
VGK,2025020436,20252026,2,2025-12-05,2025-12-06T00:00:00Z,OFF,NJD,VGK,NJD,False,Prudential Center,3.0,0.0,W,3.0
VGK,2025020458,20252026,2,2025-12-07,2025-12-08T00:00:00Z,OFF,NYR,VGK,NYR,False,Madison Square Garden,3.0,2.0,W,2.0
VGK,2025020468,20252026,2,2025-12-09,2025-12-10T00:00:00Z,OFF,NYI,VGK,NYI,False,UBS Arena,4.0,5.0,L,2.0
VGK,2025020483,20252026,2,2025-12-11,2025-12-12T00:00:00Z,OFF,PHI,VGK,PHI,False,Xfinity Mobile Arena,3.0,2.0,W,2.0
VGK,2025020502,20252026,2,2025-12-13,2025-12-14T00:00:00Z,OFF,CBJ,VGK,CBJ,False,Nationwide Arena,3.0,2.0,W,2.0
VGK,2025020533,20252026,2,2025-12-17,2025-12-18T03:00:00Z,OFF,VGK,NJD,NJD,True,T-Mobile Arena,1.0,2.0,L,4.0
VGK,2025020559,20252026,2,2025-12-20,2025-12-21T03:00:00Z,OFF,CGY,VGK,CGY,False,Scotiabank Saddledome,3.0,6.0,L,3.0
VGK,2025020570,20252026,2,2025-12-21,2025-12-22T01:00:00Z,OFF,EDM,VGK,EDM,False,Rogers Place,3.0,4.0,L,1.0
VGK,2025020586,20252026,2,2025-12-23,2025-12-24T03:00:00Z,OFF,VGK,SJS,SJS,True,T-Mobile Arena,7.0,2.0,W,2.0
VGK,2025020600,20252026,2,2025-12-27,2025-12-28T03:00:00Z,OFF,VGK,COL,COL,True,T-Mobile Arena,5.0,6.0,L,4.0
VGK,2025020614,20252026,2,2025-12-29,2025-12-30T03:00:00Z,OFF,VGK,MIN,MIN,True,T-Mobile Arena,2.0,5.0,L,2.0
VGK,2025020623,20252026,2,2025-12-31,2025-12-31T20:00:00Z,OFF,VGK,NSH,NSH,True,T-Mobile Arena,2.0,4.0,L,2.0
VGK,2025020640,20252026,2,2026-01-02,2026-01-02T20:00:00Z,OFF,STL,VGK,STL,False,Enterprise Center,3.0,4.0,L,2.0
VGK,2025020661,20252026,2,2026-01-04,2026-01-05T00:00:00Z,OFF,CHI,VGK,CHI,False,United Center,2.0,3.0,L,2.0
VGK,2025020673,20252026,2,2026-01-06,2026-01-07T01:00:00Z,OFF,WPG,VGK,WPG,False,Canada Life Centre,4.0,3.0,W,2.0
VGK,2025020692,20252026,2,2026-01-08,2026-01-09T03:00:00Z,OFF,VGK,CBJ,CBJ,True,T-Mobile Arena,5.0,3.0,W,2.0
VGK,2025020710,20252026,2,2026-01-10,2026-01-11T03:00:00Z,OFF,VGK,STL,STL,True,T-Mobile Arena,4.0,2.0,W,2.0
VGK,2025020715,20252026,2,2026-01-11,2026-01-12T01:00:00Z,OFF,SJS,VGK,SJS,False,SAP Center at San Jose,7.0,2.0,W,1.0
VGK,2025020738,20252026,2,2026-01-14,2026-01-15T03:00:00Z,OFF,LAK,VGK,LAK,False,Crypto.com Arena,3.0,2.0,W,3.0
VGK,2025020748,20252026,2,2026-01-15,2026-01-16T02:30:00Z,OFF,VGK,TOR,TOR,True,T-Mobile Arena,6.0,5.0,W,1.0
VGK,2025020765,20252026,2,2026-01-17,2026-01-18T03:00:00Z,OFF,VGK,NSH,NSH,True,T-Mobile Arena,7.0,2.0,W,2.0
VGK,2025020775,20252026,2,2026-01-19,2026-01-20T01:00:00Z,OFF,VGK,PHI,PHI,True,T-Mobile Arena,1.0,2.0,L,2.0
VGK,2025020794,20252026,2,2026-01-22,2026-01-23T00:00:00Z,OFF,BOS,VGK,BOS,False,TD Garden,3.0,4.0,L,3.0
VGK,2025020802,20252026,2,2026-01-23,2026-01-24T00:00:00Z,OFF,TOR,VGK,TOR,False,Scotiabank Arena,6.0,3.0,W,1.0
VGK,2025020821,20252026,2,2026-01-25,2026-01-25T22:00:00Z,OFF,OTT,VGK,OTT,False,Canadian Tire Centre,1.0,7.0,L,2.0
VGK,2025020832,20252026,2,2026-01-27,2026-01-28T00:00:00Z,OFF,MTL,VGK,MTL,False,Centre Bell,2.0,3.0,L,2.0
VGK,2025020856,20252026,2,2026-01-29,2026-01-30T03:00:00Z,OFF,VGK,DAL,DAL,True,T-Mobile Arena,4.0,5.0,L,2.0
VGK,2025020872,20252026,2,2026-01-31,2026-02-01T03:00:00Z,OFF,VGK,SEA,SEA,True,T-Mobile Arena,2.0,3.0,L,2.0
VGK,2025020875,20252026,2,2026-02-01,2026-02-02T02:30:00Z,OFF,ANA,VGK,ANA,False,Honda Center,3.0,4.0,L,1.0
VGK,2025020901,20252026,2,2026-02-04,2026-02-05T03:00:00Z,OFF,VGK,VAN,VAN,True,T-Mobile Arena,5.0,2.0,W,3.0
VGK,2025020909,20252026,2,2026-02-05,2026-02-06T03:00:00Z,OFF,VGK,LAK,LAK,True,T-Mobile Arena,4.0,1.0,W,1.0
VGK,2025020916,20252026,2,2026-02-25,2026-02-26T03:00:00Z,OFF,LAK,VGK,LAK,False,Crypto.com Arena,6.0,4.0,W,20.0
VGK,2025020931,20252026,2,2026-02-27,2026-02-28T00:00:00Z,OFF,WSH,VGK,WSH,False,Capital One Arena,2.0,3.0,L,2.0
VGK,2025020947,20252026,2,2026-03-01,2026-03-01T18:00:00Z,OFF,PIT,VGK,PIT,False,PPG Paints Arena,0.0,5.0,L,2.0
VGK,2025020960,20252026,2,2026-03-03,2026-03-04T00:00:00Z,OFF,BUF,VGK,BUF,False,KeyBank Center,2.0,3.0,L,2.0
VGK,2025020970,20252026,2,2026-03-04,2026-03-05T00:00:00Z,OFF,DET,VGK,DET,False,Little Caesars Arena,4.0,3.0,W,1.0
VGK,2025020988,20252026,2,2026-03-06,2026-03-07T03:00:00Z,OFF,VGK,MIN,MIN,True,T-Mobile Arena,2.0,4.0,L,2.0
VGK,2025021007,20252026,2,2026-03-08,2026-03-09T01:30:00Z,OFF,VGK,EDM,EDM,True,T-Mobile Arena,2.0,4.0,L,2.0
VGK,2025021020,20252026,2,2026-03-10,2026-03-11T00:00:00Z,OFF,DAL,VGK,DAL,False,American Airlines Center,1.0,2.0,L,2.0
VGK,2025021039,20252026,2,2026-03-12,2026-03-13T02:00:00Z,OFF,VGK,PIT,PIT,True,T-Mobile Arena,6.0,2.0,W,2.0
VGK,2025021056,20252026,2,2026-03-14,2026-03-15T02:00:00Z,OFF,VGK,CHI,CHI,True,T-Mobile Arena,4.0,0.0,W,2.0
VGK,2025021075,20252026,2,2026-03-17,2026-03-18T02:00:00Z,OFF,VGK,BUF,BUF,True,T-Mobile Arena,0.0,2.0,L,3.0
VGK,2025021091,20252026,2,2026-03-19,2026-03-20T02:00:00Z,OFF,VGK,UTA,UTA,True,T-Mobile Arena,0.0,4.0,L,2.0
VGK,2025021100,20252026,2,2026-03-21,2026-03-21T18:00:00Z,OFF,NSH,VGK,NSH,False,Bridgestone Arena,1.0,4.0,L,2.0
VGK,2025021115,20252026,2,2026-03-22,2026-03-22T23:00:00Z,OFF,DAL,VGK,DAL,False,American Airlines Center,3.0,2.0,W,1.0
VGK,2025021131,20252026,2,2026-03-24,2026-03-25T00:00:00Z,OFF,WPG,VGK,WPG,False,Canada Life Centre,1.0,4.0,L,2.0
VGK,2025021148,20252026,2,2026-03-26,2026-03-27T01:30:00Z,OFF,VGK,EDM,EDM,True,T-Mobile Arena,3.0,4.0,L,2.0
VGK,2025021166,20252026,2,2026-03-28,2026-03-29T02:30:00Z,OFF,VGK,WSH,WSH,True,T-Mobile Arena,4.0,5.0,L,2.0
VGK,2025021175,20252026,2,2026-03-30,2026-03-31T02:00:00Z,OFF,VGK,VAN,VAN,True,T-Mobile Arena,4.0,2.0,W,2.0
VGK,2025021201,20252026,2,2026-04-02,2026-04-03T02:00:00Z,OFF,VGK,CGY,CGY,True,T-Mobile Arena,6.0,3.0,W,3.0
VGK,2025021218,20252026,2,2026-04-04,2026-04-05T02:00:00Z,OFF,EDM,VGK,EDM,False,Rogers Place,5.0,1.0,W,2.0
VGK,2025021242,20252026,2,2026-04-07,2026-04-08T02:00:00Z,OFF,VAN,VGK,VAN,False,Rogers Arena,2.0,1.0,W,3.0
VGK,2025021259,20252026,2,2026-04-09,2026-04-10T02:00:00Z,OFF,SEA,VGK,SEA,False,Climate Pledge Arena,3.0,4.0,L,2.0
VGK,2025021274,20252026,2,2026-04-11,2026-04-12T00:00:00Z,OFF,COL,VGK,COL,False,Ball Arena,3.0,2.0,W,2.0
VGK,2025021290,20252026,2,2026-04-13,2026-04-14T02:00:00Z,OFF,VGK,WPG,WPG,True,T-Mobile Arena,6.0,2.0,W,2.0
VGK,2025021306,20252026,2,2026-04-15,2026-04-16T02:00:00Z,OFF,VGK,SEA,SEA,True,T-Mobile Arena,4.0,1.0,W,2.0
VGK,2025030171,20252026,3,2026-04-19,2026-04-20T02:00:00Z,OFF,VGK,UTA,UTA,True,T-Mobile Arena,4.0,2.0,W,4.0
VGK,2025030172,20252026,3,2026-04-21,2026-04-22T01:30:00Z,OFF,VGK,UTA,UTA,True,T-Mobile Arena,2.0,3.0,L,2.0
VGK,2025030173,20252026,3,2026-04-24,2026-04-25T01:30:00Z,OFF,UTA,VGK,UTA,False,Delta Center,2.0,4.0,L,3.0
VGK,2025030174,20252026,3,2026-04-27,2026-04-28T01:30:00Z,OFF,UTA,VGK,UTA,False,Delta Center,5.0,4.0,W,3.0
VGK,2025030175,20252026,3,2026-04-29,2026-04-30T02:00:00Z,OFF,VGK,UTA,UTA,True,T-Mobile Arena,5.0,4.0,W,2.0
VGK,2025030176,20252026,3,2026-05-01,2026-05-02T02:00:00Z,OFF,UTA,VGK,UTA,False,Delta Center,5.0,1.0,W,2.0
VGK,2025030241,20252026,3,2026-05-04,2026-05-05T01:30:00Z,OFF,VGK,ANA,ANA,True,T-Mobile Arena,3.0,1.0,W,3.0
VGK,2025030242,20252026,3,2026-05-06,2026-05-07T01:30:00Z,OFF,VGK,ANA,ANA,True,T-Mobile Arena,1.0,3.0,L,2.0
VGK,2025030243,20252026,3,2026-05-08,2026-05-09T01:30:00Z,OFF,ANA,VGK,ANA,False,Honda Center,6.0,2.0,W,2.0
VGK,2025030244,20252026,3,2026-05-10,2026-05-11T01:30:00Z,OFF,ANA,VGK,ANA,False,Honda Center,3.0,4.0,L,2.0
VGK,2025030245,20252026,3,2026-05-12,2026-05-13T01:30:00Z,OFF,VGK,ANA,ANA,True,T-Mobile Arena,3.0,2.0,W,2.0
VGK,2025030246,20252026,3,2026-05-14,2026-05-15T01:30:00Z,OFF,ANA,VGK,ANA,False,Honda Center,5.0,1.0,W,2.0
VGK,2025030321,20252026,3,2026-05-20,2026-05-21T00:00:00Z,OFF,COL,VGK,COL,False,Ball Arena,4.0,2.0,W,6.0
VGK,2025030322,20252026,3,2026-05-22,2026-05-23T00:00:00Z,OFF,COL,VGK,COL,False,Ball Arena,3.0,1.0,W,2.0
VGK,2025030323,20252026,3,2026-05-24,2026-05-25T00:00:00Z,OFF,VGK,COL,COL,True,T-Mobile Arena,5.0,3.0,W,2.0
VGK,2025030324,20252026,3,2026-05-26,2026-05-27T01:00:00Z,OFF,VGK,COL,COL,True,T-Mobile Arena,2.0,1.0,W,2.0
VGK,2025030411,20252026,3,2026-06-02,2026-06-03T00:00:00Z,FUT,CAR,VGK,CAR,False,Lenovo Center,,,,7.0
VGK,2025030412,20252026,3,2026-06-04,2026-06-05T00:00:00Z,FUT,CAR,VGK,CAR,False,Lenovo Center,,,,2.0
VGK,2025030413,20252026,3,2026-06-06,2026-06-07T00:00:00Z,FUT,VGK,CAR,CAR,True,T-Mobile Arena,,,,2.0
VGK,2025030414,20252026,3,2026-06-09,2026-06-10T00:00:00Z,FUT,VGK,CAR,CAR,True,T-Mobile Arena,,,,3.0
VGK,2025030415,20252026,3,2026-06-11,2026-06-12T00:00:00Z,FUT,CAR,VGK,CAR,False,Lenovo Center,,,,2.0
VGK,2025030416,20252026,3,2026-06-14,2026-06-15T00:00:00Z,FUT,VGK,CAR,CAR,True,T-Mobile Arena,,,,3.0
VGK,2025030417,20252026,3,2026-06-17,2026-06-18T00:00:00Z,FUT,CAR,VGK,CAR,False,Lenovo Center,,,,3.0
CAR,2025010016,20252026,1,2025-09-22,2025-09-22T23:00:00Z,FINAL,CAR,TBL,TBL,True,Lenovo Center,1.0,2.0,L,
CAR,2025010030,20252026,1,2025-09-24,2025-09-24T22:00:00Z,FINAL,CAR,FLA,FLA,True,Lenovo Center,2.0,4.0,L,2.0
CAR,2025010040,20252026,1,2025-09-26,2025-09-26T23:00:00Z,FINAL,TBL,CAR,TBL,False,Benchmark International Arena,5.0,6.0,L,2.0
CAR,2025010055,20252026,1,2025-09-28,2025-09-28T23:00:00Z,FINAL,CAR,NSH,NSH,True,Lenovo Center,4.0,2.0,W,2.0
CAR,2025010061,20252026,1,2025-09-29,2025-09-29T22:00:00Z,FINAL,FLA,CAR,FLA,False,Amerant Bank Arena,3.0,4.0,L,1.0
CAR,2025010091,20252026,1,2025-10-04,2025-10-04T20:00:00Z,FINAL,NSH,CAR,NSH,False,Bridgestone Arena,2.0,3.0,L,5.0
CAR,2025020014,20252026,2,2025-10-09,2025-10-09T23:30:00Z,OFF,CAR,NJD,NJD,True,Lenovo Center,6.0,3.0,W,5.0
CAR,2025020030,20252026,2,2025-10-11,2025-10-11T23:00:00Z,OFF,CAR,PHI,PHI,True,Lenovo Center,4.0,3.0,W,2.0
CAR,2025020055,20252026,2,2025-10-14,2025-10-15T02:00:00Z,OFF,SJS,CAR,SJS,False,SAP Center at San Jose,5.0,1.0,W,3.0
CAR,2025020070,20252026,2,2025-10-16,2025-10-17T02:00:00Z,OFF,ANA,CAR,ANA,False,Honda Center,4.0,1.0,W,2.0
CAR,2025020086,20252026,2,2025-10-18,2025-10-19T01:00:00Z,OFF,LAK,CAR,LAK,False,Crypto.com Arena,4.0,3.0,W,2.0
CAR,2025020097,20252026,2,2025-10-20,2025-10-21T02:00:00Z,OFF,VGK,CAR,VGK,False,T-Mobile Arena,1.0,4.0,L,2.0
CAR,2025020121,20252026,2,2025-10-23,2025-10-24T01:00:00Z,OFF,COL,CAR,COL,False,Ball Arena,5.0,4.0,W,3.0
CAR,2025020138,20252026,2,2025-10-25,2025-10-26T00:00:00Z,OFF,DAL,CAR,DAL,False,American Airlines Center,2.0,3.0,L,2.0
CAR,2025020155,20252026,2,2025-10-28,2025-10-28T22:30:00Z,OFF,CAR,VGK,VGK,True,Lenovo Center,3.0,6.0,L,3.0
CAR,2025020171,20252026,2,2025-10-30,2025-10-30T23:30:00Z,OFF,CAR,NYI,NYI,True,Lenovo Center,6.0,2.0,W,2.0
CAR,2025020181,20252026,2,2025-11-01,2025-11-01T17:00:00Z,OFF,BOS,CAR,BOS,False,TD Garden,1.0,2.0,L,2.0
CAR,2025020206,20252026,2,2025-11-04,2025-11-05T00:00:00Z,OFF,NYR,CAR,NYR,False,Madison Square Garden,3.0,0.0,W,3.0
CAR,2025020222,20252026,2,2025-11-06,2025-11-07T00:00:00Z,OFF,CAR,MIN,MIN,True,Lenovo Center,4.0,3.0,W,2.0
CAR,2025020238,20252026,2,2025-11-08,2025-11-09T00:00:00Z,OFF,CAR,BUF,BUF,True,Lenovo Center,6.0,3.0,W,2.0
CAR,2025020246,20252026,2,2025-11-09,2025-11-10T00:00:00Z,OFF,TOR,CAR,TOR,False,Scotiabank Arena,5.0,4.0,W,1.0
CAR,2025020259,20252026,2,2025-11-11,2025-11-12T00:00:00Z,OFF,CAR,WSH,WSH,True,Lenovo Center,1.0,4.0,L,2.0
CAR,2025020279,20252026,2,2025-11-14,2025-11-15T00:00:00Z,OFF,CAR,VAN,VAN,True,Lenovo Center,4.0,3.0,W,3.0
CAR,2025020289,20252026,2,2025-11-15,2025-11-16T00:00:00Z,OFF,CAR,EDM,EDM,True,Lenovo Center,3.0,4.0,L,1.0
CAR,2025020301,20252026,2,2025-11-17,2025-11-18T00:00:00Z,OFF,BOS,CAR,BOS,False,TD Garden,3.0,1.0,W,2.0
CAR,2025020317,20252026,2,2025-11-19,2025-11-20T02:30:00Z,OFF,MIN,CAR,MIN,False,Grand Casino Arena,3.0,4.0,L,2.0
CAR,2025020333,20252026,2,2025-11-21,2025-11-22T01:00:00Z,OFF,WPG,CAR,WPG,False,Canada Life Centre,4.0,3.0,W,2.0
CAR,2025020347,20252026,2,2025-11-23,2025-11-23T18:00:00Z,OFF,BUF,CAR,BUF,False,KeyBank Center,1.0,4.0,L,2.0
CAR,2025020368,20252026,2,2025-11-26,2025-11-27T00:00:00Z,OFF,CAR,NYR,NYR,True,Lenovo Center,2.0,4.0,L,3.0
CAR,2025020387,20252026,2,2025-11-28,2025-11-28T22:00:00Z,OFF,CAR,WPG,WPG,True,Lenovo Center,5.0,1.0,W,2.0
CAR,2025020404,20252026,2,2025-11-30,2025-11-30T22:00:00Z,OFF,CAR,CGY,CGY,True,Lenovo Center,1.0,0.0,W,2.0
CAR,2025020431,20252026,2,2025-12-04,2025-12-05T00:00:00Z,OFF,CAR,TOR,TOR,True,Lenovo Center,1.0,5.0,L,4.0
CAR,2025020447,20252026,2,2025-12-06,2025-12-07T00:00:00Z,OFF,CAR,NSH,NSH,True,Lenovo Center,6.0,3.0,W,2.0
CAR,2025020455,20252026,2,2025-12-07,2025-12-07T22:00:00Z,OFF,CAR,SJS,SJS,True,Lenovo Center,1.0,4.0,L,1.0
CAR,2025020471,20252026,2,2025-12-09,2025-12-10T00:30:00Z,OFF,CAR,CBJ,CBJ,True,Lenovo Center,4.0,1.0,W,2.0
CAR,2025020485,20252026,2,2025-12-11,2025-12-12T00:00:00Z,OFF,WSH,CAR,WSH,False,Capital One Arena,3.0,2.0,W,2.0
CAR,2025020501,20252026,2,2025-12-13,2025-12-14T00:00:00Z,OFF,PHI,CAR,PHI,False,Xfinity Mobile Arena,4.0,3.0,W,2.0
CAR,2025020510,20252026,2,2025-12-14,2025-12-14T22:00:00Z,OFF,CAR,PHI,PHI,True,Lenovo Center,3.0,2.0,W,1.0
CAR,2025020532,20252026,2,2025-12-17,2025-12-18T01:00:00Z,OFF,NSH,CAR,NSH,False,Bridgestone Arena,4.0,1.0,W,3.0
CAR,2025020544,20252026,2,2025-12-19,2025-12-20T00:00:00Z,OFF,FLA,CAR,FLA,False,Amerant Bank Arena,3.0,4.0,L,2.0
CAR,2025020557,20252026,2,2025-12-20,2025-12-21T00:00:00Z,OFF,TBL,CAR,TBL,False,Benchmark International Arena,4.0,6.0,L,1.0
CAR,2025020581,20252026,2,2025-12-23,2025-12-24T00:00:00Z,OFF,CAR,FLA,FLA,True,Lenovo Center,2.0,5.0,L,3.0
CAR,2025020593,20252026,2,2025-12-27,2025-12-28T00:00:00Z,OFF,CAR,DET,DET,True,Lenovo Center,5.0,2.0,W,4.0
CAR,2025020608,20252026,2,2025-12-29,2025-12-30T00:00:00Z,OFF,CAR,NYR,NYR,True,Lenovo Center,3.0,2.0,W,2.0
CAR,2025020619,20252026,2,2025-12-30,2025-12-31T00:00:00Z,OFF,PIT,CAR,PIT,False,PPG Paints Arena,1.0,5.0,L,1.0
CAR,2025020636,20252026,2,2026-01-01,2026-01-02T00:00:00Z,OFF,CAR,MTL,MTL,True,Lenovo Center,5.0,7.0,L,2.0
CAR,2025020653,20252026,2,2026-01-03,2026-01-04T00:00:00Z,OFF,CAR,COL,COL,True,Lenovo Center,3.0,5.0,L,2.0
